channel_title,average_views
Ranz Kyle,542252.0
Chubbyemu,537175.1176470588
IGN,535717.2678571428
The Verge,535238.65625
AT&T,534611.2
How To Cake It,534507.061728395
Life Noggin,534251.6216216217
Christine Sydelko,534046.3333333334
Sonic the Hedgehog,533114.8571428572
Colleen Vlogs,533046.4210526316
Toyota Global,532994.2857142857
Awkward Puppets,532227.8333333334
Australian Open TV,531498.4705882353
Wendy Williams,530991.5535714285
JackWhiteVEVO,530102.4166666666
USA Gymnastics,528928.6470588235
Good Morning America,528489.6883116884
Taylor Nicole Dean,528204.9285714285
The New York Times,527804.1392405063
Dancing With The Stars,526464.975
H O N N E,525941.5
GingerPale,525385.2352941176
CrossFit®,525002.6153846154
kehlani parrish,524577.4444444445
Olivia Jade,523903.82608695654
Full Frontal with Samantha Bee,523388.8095238095
Tpindell,522873.625
SupremeSounds,522017.5
ESPN,520464.12807881774
RoadsideFlix,516668.93333333335
Cammie Scott,515796.125
Comedy Central,513702.3333333333
BØRNSmusicVEVO,513593.14285714284
RealLifeLore,513137.95454545453
UFC - Ultimate Fighting Championship,512820.6842105263
Muselk,509499.0
Danny Sapko,509286.5
PolyMatter,508501.29411764705
Tia Mowry's Quick Fix,507836.3
LD Entertainment,507422.3333333333
PB Comps,506377.6666666667
iJustine,505659.28282828286
NBC Sports,502767.72602739726
Roxette Arisa,502754.0833333333
I Like To Make Stuff,502690.17647058825
SaggyJ,502579.5
Feast Of Fiction,499444.5142857143
PONY Syndrome,496227.28571428574
Desi Perkins,496145.6176470588
KaceyMusgravesVEVO,494122.9310344828
Maddie Ziegler,493903.54545454547
Nickelodeon,493150.71428571426
CBS News,491406.9268292683
Madelaine Petsch,490128.1176470588
Fancy Vlogs By Gab,488418.125
TmarTn2,485552.3846153846
Yoga With Adriene,485288.5714285714
Studio C,485164.7027027027
HellthyJunkFood,484211.79738562094
Monster Cable Products,483890.0
KathleenLights,483011.3768115942
amc,482657.04347826086
Good Mythical MORE,482375.0294117647
Nicol Concilio,482254.5238095238
PLAYERUNKNOWN'S BATTLEGROUNDS,482005.3333333333
Daisy Marquez,481925.73076923075
PointlessBlogVlogs,481349.8
Brian Hull,480917.3333333333
Luke Korns,475759.22222222225
Huxley Berg Studios,473582.6666666667
Austin Evans,471752.9846153846
WeatherTech,471638.75
ViralHog,471056.57446808513
ChangeofplanZ,471005.5
DonDiablo,465943.2
New Scientist,465893.0
People are Awesome,461305.44444444444
KFC,460745.85714285716
Motherboard,460533.1111111111
Verizon,460394.14285714284
JOE.ie,458027.92307692306
Diet Coke,457595.0
CBS This Morning,457148.60714285716
MatthewSantoro,455823.7931034483
Mike Boyd,454838.4126984127
AusAntarctic,454429.54545454547
ABC News,454051.56097560975
Sesame Street,452841.25
Tyler Oakley,451973.85714285716
Tamar Chronicles,451356.0
Munchies,449990.25
TED-Ed,449595.04938271607
Clevver News,449136.7297297297
Inside Edition,447880.8076923077
R3HAB,446664.3333333333
Simon's Cat,445354.5304347826
BBC News,444273.96774193546
TheBeatlesVEVO,444125.25
Vlogs By DK4L,442039.3333333333
Cole and Marmalade,441728.5111111111
ELLEUKTV,441632.28571428574
Corinne Leigh,440443.28571428574
tonyvera1902,438879.3333333333
Jason Yu,435953.5
Funny News,435387.0
Dj Earworm,433483.0
Grandpa Kitchen,431968.85714285716
The Royal Family Channel,431773.5925925926
MariahCareyVEVO,429149.6666666667
WaterTower Music,429141.125
HouzzTV,429077.14285714284
Clevver Style,428483.39024390245
Great Big Story,428337.0390625
Rise,428332.0
Gus Johnson,427810.45588235295
Ricky Dillon,427418.8333333333
The Bella Twins,426671.5625
Half as Interesting,426253.61971830984
JuJu Smith-Schuster,426122.0
CrowsEyeProductions,424552.2
NCAA March Madness,422789.6956521739
SB Nation,421441.53125
VICE,420923.6
Keyboard Cat,420054.44444444444
India Survival Guide,418998.3333333333
My Virgin Kitchen,418302.1
Frank May,417332.75
Philly D,417282.7
GeorgeEzraVEVO,417253.9130434783
Mean Girls on Broadway,417123.8181818182
Nerdwriter1,416859.0483870968
Chad Kroeger,412812.0
Adam's Apple,412653.4
Kid Rock,412572.1666666667
Tech Insider,412501.1538461539
Gallant,411582.95652173914
AnimalWised,411191.9166666667
Miranda Sings,410943.8
Motion Station,409368.2
SUPERFRUIT,409198.2
TheJuicyJVEVO,408652.3333333333
Persil ProClean,408307.71428571426
JerryRigEverything,406976.25581395347
Freddie Twenty,406929.125
KaneBrownVEVO,405751.26666666666
Jonathan Morrison,405154.3
Christen Dominique,404941.875
truTV,404431.48484848486
onsetfacilities.com,404058.0
EllieGouldingVEVO,403542.0588235294
Famous Celebrities Snaps,403409.1818181818
foofightersVEVO,403224.75
U2VEVO,401778.8620689655
Cat Man Chris,401004.25
Piece Of Me Tour Planet Hollywood,400838.75
NBA,400025.23756906076
Chris Turner,398718.85714285716
KKandbabyJ,398457.7368421053
MOMOMOYOUTHVEVO,397827.125
TurboTax,397336.0909090909
Scotty Kilmer,396797.625
alt-J,395663.71428571426
The CW Television Network,395510.8947368421
jennxpenn,393353.86842105264
ELLE,392094.6388888889
PostmodernJukebox,391063.35714285716
Klossy,390679.07692307694
dodieVEVO,390366.5
doddlevloggle,389495.8333333333
Pero Like,388219.3333333333
DrinkBODYARMOR,387493.0
Troye Sivan,387450.4
Vet Ranch,387226.6
Shawn Johnson East,386685.8
Cracked,386586.53846153844
heyitsfeiii,386369.4090909091
Donald J. Trump Topic,385071.3333333333
CNNMoney,384645.71428571426
RickyMartinVEVO,383028.8333333333
Shmee150,382166.75
Harper's BAZAAR,381707.8333333333
ignoramusky,381706.14285714284
Rebel Wilson,380729.0
SuperCarlinBrothers,380681.14814814815
Glam&Gore,380575.48
The Key of Awesome,379870.8888888889
Comicbook.com,379814.26666666666
TheMeanKitty,379056.0
Alex French Guy Cooking,378251.2727272727
Andrew Rowland,377664.2
WOWPresents,377427.2463768116
Variety,376998.05555555556
ChvrchesVEVO,375416.85
Peter McKinnon,374460.56666666665
Allure,373274.2
WhatCulture Wrestling,371085.6666666667
Engineering Explained,367099.5789473684
Thomas Sanders,366549.5
Chloe x Halle,363427.76470588235
Bramty Juliette,362797.25
Kortney Steury,362510.25
WhatsUpMoms,362202.4
ElectroBOOM,362126.56
CatPusic,361859.1818181818
Cody'sLab,361555.375
Waymo,361276.5
Mountain Dew,360784.5
Anaki Abo,358597.0
Living Big In A Tiny House,358338.3125
Jimmy Built,358127.1818181818
Shesez,357050.2
E! Live from the Red Carpet,356815.95454545453
FC Barcelona,356795.98214285716
ANDREW HUANG,356719.97872340423
Freedom of the Press Foundation,356559.5
William Osman,356301.1818181818
G-Eazy,354729.1538461539
Kristen Hancher,354600.63636363635
Inside the Magic,354413.1111111111
Emirates,354335.2
TheHoonigans,354038.0
New Orleans Saints on NOLA.com,352800.8888888889
jenniferhudsonVEVO,351676.5714285714
Kylie Minogue,351627.6666666667
Townsends,351550.1176470588
Philadelphia Eagles,350218.6666666667
Alissa Ashley,349784.8461538461
LukeCombsVEVO,347266.1666666667
National Geographic,347043.91803278687
Anew Start,347027.3333333333
Vance Joy,346595.23076923075
Alabama Crimson Tide on AL.com,346266.4
CBS New York,345347.1538461539
IAmAnneMarie,345267.2
The View,343392.1595744681
L2inc,343025.3333333333
yovo68,342273.5
BeckVEVO,340902.4285714286
PeterSripol,339710.0
MaggieRogersVEVO,339375.0833333333
Guardian News,338288.2641509434
BrantleyGilbertVEVO,337655.5714285714
MinuteEarth,336843.7083333333
Matt Steffanina,336449.25
KATC,336070.6
The Oregonian,335961.3333333333
Physics Girl,335680.9090909091
Dave Lee,334380.6
Eva Lunde Bentley,333942.0
Daz Games,333402.6666666667
FundingCircleUK,332026.5
PBS Space Time,331274.6666666667
Victoria's Secret,330950.5714285714
Moulin Rouge! the Musical,328372.9
MTV International,328281.1666666667
H&M,327883.75
Keith Urban,327108.5
davematthewsbandVEVO,326107.3043478261
Johnny Jansen,324007.8181818182
mmschocolate,323748.4666666667
acaciacutie,323237.13333333336
akidearest,321412.85714285716
Max Fagin,320286.28571428574
Nile Wilson,318914.0
Casey Holmes,317185.56862745096
Olympic,317077.0588235294
Cimorelli,315750.75
JamesBlakeVEVO,315712.3333333333
DoodleChaos,315700.4
"Cyprus Air Heating, Cooling and Fireplaces",314761.5
BBC Sport,314748.36363636365
MAZELEE,314337.6666666667
The Orchard Movies,313689.4
KTVU,313557.2
How to DAD,311781.125
Slooh,311606.1666666667
Malik Nabee,310692.0
RachhLoves,309794.9285714286
JP & Julia,309591.14285714284
Nickelback,309055.4285714286
Jack Coyne,307974.7272727273
Practical Engineering,307092.6
Anna Akana,306797.4680851064
Extra Credits,306707.85714285716
Asthmatic Kitty Records,306634.5
SumerianRecords,306377.0
Pop & Sports HQ,305899.0
Nicole Guerriero,305696.93333333335
New York Daily News,303764.25
CBS Los Angeles,303586.64705882355
Makeupshayla,303248.5
NBC News,303154.5576923077
Newsflare,302178.8333333333
FIFATV,302132.5
BonJoviVEVO,301593.55555555556
Itzztonytony,300425.0
ITV,298844.5
Zach King,298309.3846153846
How To Make Everything,296575.0588235294
TobyMacVEVO,295572.8
NBA Highlights · YouTube,294756.14285714284
DidYouKnowGaming?,294656.35
euronews (in English),294155.0
Stratolaunch,293809.5
EvanescenceVEVO,293801.22222222225
Sufficiently Advanced,293504.25
Galantis,293460.8
JOLLY,291421.0909090909
Dawid Szmandra,290541.625
MrMobile [Michael Fisher],288993.5
Simon and Martina,288210.35294117645
Duncan Sinfield,288063.5
CBS Sunday Morning,287545.5833333333
TheCubician,287346.8333333333
theneedledrop,286889.8333333333
Lisa Eldridge,286526.6206896552
Max Skipper,285734.71428571426
Strange Parts,284527.73333333334
CaptainDisillusion,283786.0
Numberphile,282856.89795918367
NickJonasVEVO,282794.24
ToriKellyVEVO,282234.8
N W,281991.6
SciShow,281492.3185185185
ColdFusion,281182.375
Fleur DeForce,280580.8888888889
GRB rally,280226.9166666667
Mitchell Moon,280199.25
ARIKITCHEN (아리키친),280189.75
Millie T,279618.0
Passenger,279095.14285714284
CamVEVO,278604.6666666667
Blue Origin,277746.29411764705
Bill Gates,277482.5333333333
The Valleyfolk,277378.25
Campo Santo Productions,276506.4285714286
Beth Kobliner,275545.8
Wix.com,274794.8
Lip Sync Battle,273808.1538461539
ChrisStapletonVEVO,273444.9375
TheKillersVEVO,273378.6
CBS Miami,270714.3333333333
LavenderTowne,269067.125
Gigi Gorgeous,268911.35294117645
3Blue1Brown,268629.35714285716
Abhishek Singh,267725.75
FILMWEBTV,267699.6
Caspar,267328.8
FliteTest,267264.875
Nathan Robinson,266769.5
KIND Snacks,266291.6666666667
communitychannel,266029.5
Goodwillsandusky,266003.25
How To Cook That,265652.22580645164
Pitchfork,263561.2
Techquickie,263548.8
It's a Southern Thing,262085.66666666666
Car Throttle,261715.6
Paris Hilton,259809.0
AlisonWonderlandVEVO,259679.0
Fox News,259484.41860465117
Adam Neely,259463.6
The Real Daytime,259316.7619047619
OWN,259147.625
dannotv,258506.0
Trace Cyrus,258291.625
Michael Bublé,257574.0
Shoshana Bean,255164.0
Rapid Trailer,254451.8
Denitslava Makeup,253853.95
Wong Fu Productions,253784.45652173914
Erin Noelle,253775.6
BBALLBREAKDOWN,253027.6
AnthonyPadilla,252603.8947368421
TheScriptVEVO,252243.27272727274
Solid Gold Aquatics,251617.5
Spotify,251223.11111111112
clothesencounters,250563.5
End of Ze World,250207.2
Jenn Im,250112.8125
Clicknetwork,250072.46153846153
Kristin Johns,248776.875
I.T. Channel,248332.0
Hush Kit,248264.2
Film Independent,247673.38461538462
Third Leg Studios,247511.61538461538
It's Okay To Be Smart,245849.38095238095
WFLA News Channel 8,245326.14285714287
Alex Gilbert,245322.42857142858
LoeyLane,245239.14285714287
Tom Harlock,245103.57142857142
Paweł Zadrożniak,245031.57142857142
Storyful News,244532.0
The School of Life,244143.73015873015
XAmbassadorsVEVO,243967.46153846153
Nikki Glamour,241794.8125
Ryan,241409.0
Shade 45,240969.125
NinaNesbittMusicVEVO,239608.4
Now You See It,239275.0
Alex Meyers,238461.25
The Joint Forces Channel,238335.88888888888
This Is Us,237475.75
Mayo Clinic,237307.0
vlogbrothers,236935.72463768115
StarTalk,236319.2
GwenStefaniVEVO,235766.83333333334
Top Korean News,234541.75
LewisCapaldiVEVO,233918.16666666666
blayze999,233712.6
cineytele,233515.0
Street Speed 717,233271.0
Vinheteiro,231977.375
Frog The Rooster,231847.0
Grace Helbig,231687.02666666667
Watch What Happens Live with Andy Cohen,231355.6
Jon Olsson,231303.66666666666
Berd,231170.8
4given4ever1,231008.5
What I've Learned,229739.5
MyHarto,229057.5744680851
C-SPAN,227397.78787878787
PrettyMuchVEVO,226990.64285714287
CNET,226768.2
SuperwomanVlogs,226263.0
Eater,225838.3142857143
HaimVEVO,225764.4
Claire Marshall,225697.58333333334
Quartz,225669.16666666666
MsAaliyahJay,225556.5
Jenny Nicholson,224967.30508474575
Lucas,223835.57894736843
Sugar Pine 7,223121.14285714287
Alex Aiono,222881.66666666666
Technology Connections,221923.5
BaconLegs,221695.33333333334
Tested,221125.75
J S,221095.0
Frankie Vision,220548.0
Hopeless Records,220535.66666666666
ShibSibs,219227.18181818182
Hin Nya,218855.0
Forgotten Weapons,218728.8
Liam Gallagher,217315.66666666666
LifeAccordingToJimmy,217153.5
Pittsburgh Dad,217151.5
Seth's Bike Hacks,217080.83333333334
This Morning,216737.8
2CELLOS,216093.0
To Scale:,214711.66666666666
Bravo,214429.8
The king of DIY,214192.0
The Office US,214148.0
India Love,213804.66666666666
Cosmopolitan.com,213614.16666666666
Gondwana Collection Namibia,213584.0
United Launch Alliance,213557.38461538462
CBS,213293.7
Chris Lee,213138.2
U.S. Navy,212978.75
SKITTLESbrand,212575.0
RagnBoneManVEVO,210985.16666666666
BellaThorneVEVO,210040.0
UEFA.tv,209607.75
Just Jared Jr,209074.66666666666
LecraeVEVO,207336.15384615384
Sailing La Vagabonde,205563.75
LGR,204491.66666666666
ThePianoGuys,203734.16666666666
X Factor Italia,203553.5
Food Wishes,203294.29787234042
See You Yang,202971.0
leonalewis,202953.0
Tim Gray,202670.4
Animal Planet,202624.85714285713
Circus HalliGalli,202518.85714285713
VICE News,201488.75
Billions,201125.0
BerkleyLovesTori,200821.0
LIVEKellyandRyan,200546.33333333334
kimbramusic,198885.0
brutalmoose,198804.36363636365
VidCon,198320.66666666666
Hudson Moore,197718.0
Wintergatan,195986.5
Magnolia Pictures & Magnet Releasing,195897.70588235295
Late Show with David Letterman,193220.5
Ryan Calme,192923.66666666666
OlanRogers,192130.16666666666
lara6683,191981.2857142857
LadBaby Official,191144.7
GreatScott!,190176.53333333333
Peter Brown,189759.72222222222
Vic Dibitetto,188401.0
TheVampsVEVO,188196.4
Jake Roper,187128.7142857143
Gustawny,186819.8
Julien Solomita,186659.2105263158
J.J. McCullough,186582.41666666666
Portugal. The Man,186460.88888888888
TV One,186365.8
ToveLoVEVO,186125.4
danisnotinteresting,184321.2
Alec Steele,183667.14285714287
TV Promos,183274.0
PAC ENTRETENIMENTO / DJ IVAN DAVIS,182926.0
Kevin Durant,182088.5
Dr. Sandra Lee (aka Dr. Pimple Popper),181341.33333333334
Mercedes-AMG Petronas Motorsport,181140.85714285713
MODSUN,180919.0
ТСН,180711.0
TechCrunch,180597.81818181818
Shaaanxo,180582.5
Billy Graham Evangelistic Association,179863.41666666666
Bethel Music,179627.57142857142
Southwest Florida Eagle Cam,179553.25
emma chamberlain,179521.4
Molly Burke,179496.5
Kraft Brand,178306.57142857142
YTN NEWS,177491.125
SHOWTIME Sports,177209.33333333334
geicocaveman2012,176989.0
TheSorryGirls,176948.34375
fantano,176431.33333333334
Interscope Records,176284.25
Tucker Gott,175852.0
Like Stories of Old,175681.33333333334
ConnorFranta,175461.71875
LustreLux,175420.0
standupmaths,174915.0
Bachelor Nation on ABC,174691.96153846153
Jack and Dean,174686.95
RM Videos,174324.10169491524
John Maclean,174109.0
Björk,174082.60869565216
POPSUGAR,173874.25
emmymadeinjapan,173720.9
hwow,173663.85714285713
Peter Caine Dog Training,173641.0
Sister Circle Live,173490.7142857143
Walking With Giants,171839.16666666666
Toyota USA,171712.2857142857
Hazel Hayes,170297.83333333334
FX Networks,170268.60714285713
Katzun,169754.75
Crusoe the Celebrity Dachshund,169522.66666666666
KSNV News 3 Las Vegas,169511.0
Cultaholic,169403.8
MrTreknation,168768.14285714287
My Self Reliance,168728.41666666666
thataylaa,168420.45454545456
ElbowVEVO,167550.0
Blurred Culture,167507.0
officialcharlixcx,167147.91666666666
StanDrawsSpaceships,167121.75
Omaze,167083.93333333332
Sauber F1 Team,166325.14285714287
Asian Boss,166168.11764705883
engineerguy,165255.2
Buttered Side Down,164859.8947368421
Refinery29,164657.5625
ScottyMcCreeryVEVO,164575.0
The Modern Rogue,164387.25
Jamie Demeter,163780.0
Man About Cake,163243.3125
cocheusadoooo,163086.33333333334
Dennis Kapatos,162676.83333333334
BBC Earth,162060.55
Pick Up Limes,161932.25
CBS Evening News,160724.5
Royal Blood,160490.25
slaymeclarkson c:,160253.625
chris lee,160012.0
MoorInfo,159737.0
empireofthesunvevo,158650.5
FOX Sports,158518.80952380953
Hillsong Worship,158067.0
Sailor J,157159.74285714285
austinmcconnell,157102.92307692306
Máquina Voadora,157031.33333333334
Lorraine,156772.3
Evan Edinger,156728.5
MeganBatoon,156285.53333333333
eLL cartoons,154896.33333333334
Amber Liu,154560.2
Barn Sanctuary,154492.5
MaccabeatsVideos,153782.5
Matt and Kim,153757.16666666666
NBA Stats All Seasons,153749.2
BTS Videos,153341.0
MandisaVEVO,153129.8
Kyle Jennermann,152161.0
Star Wars HQ,150964.75
This Might Get,150579.77777777778
NewsFunnies,150421.11111111112
BRITs,150126.0
CS Dojo,149999.0
BBC America,149995.75
FightHype.com,148896.72222222222
IFC,148704.0
monatheband,148354.0
The Deal Guy,148351.1
Polyphonic,147403.0
Lindsay Webster,147352.875
HiHo Kids,146806.0
Wall Street Journal,146733.5
Squirrel Monkey,146609.25
Alto's Adventure,146519.42857142858
AlmazanKitchen,145727.0
Conan Gray,145281.25
SPORTSNET,145021.0
HQVideoDude,143497.2
DragTimes,143412.36363636365
KipMooreVEVO,142931.66666666666
BETNetworks,142884.25
Desus & Mero,141596.75
TSN Tube,141052.0
Beme News,140820.05263157896
IncubusVEVO,140357.5
James Veitch,139989.0
Mayim Bialik,139906.4
Braille Skateboarding,139771.1
Keke Palmer,138621.14285714287
Jessica Clements,136417.3076923077
Moby,136240.83333333334
Estée Lalonde,135299.0
Gcincorp Ecommerce and Real Estate,135085.57142857142
CNBC,134700.85714285713
Disney Parks,133831.35
Edward Avila,133727.0
Guldies,133651.2
stacyvlogs,133473.66666666666
Cody'sBLab,132295.0
"European Space Agency, ESA",131950.8
Jessica Vu,131927.57142857142
Allie Glines,131839.0
David Archuleta,131106.66666666666
Everyday Astronaut,130596.07692307692
BuzzFeed Nifty,130136.80555555556
Golden State Warriors,128366.25
Alpha Entertainment,127800.14285714286
mvt.ias,127738.66666666667
MrNorrisVideos,127580.5
Techmoan,127224.75
ScreenPrism,126508.18518518518
Taylor R,126189.5
Sports Illustrated,125940.5
Beyond The Trailer,125628.57142857143
MSNBC,125270.53488372093
jessiepaege,124954.0
Anthem Lights,124940.6
Ryan Davidson,124028.0
Wendy's,124022.0
CrazyLaughAction,123633.5
PhakeNam,123508.57142857143
barnabydixon,123438.66666666667
Shameless Maya,123357.44444444444
CatCreature,123129.04347826086
HANSE 한세,123052.5
Campari,122913.66666666667
The Lore Master,122825.0
ombremor,122480.2
The Talk,122383.69230769231
LukeBryanVEVO,122334.53333333334
Movie Munchies,121586.8
Chris and Jack,121495.0
officer401,120856.0
Josh Groban,120837.4
Donut Media,120578.25
SiriusXM,120383.0
Abroad in Japan,120072.0
PeopleTV,119899.33333333333
BishopBriggsVEVO,119648.83333333333
WHAT'S INSIDE? FAMILY,118829.84615384616
BowlFullofAwesome,118678.0
kmichelle,118304.5
Trailers Promos Teasers,117979.5
Bret Baier,117191.28571428571
Wallows,116756.33333333333
Tom Stanton,116726.875
Exploring Alternatives,116719.0
Mamrie Hart,116293.5
JoergSprave,116233.2
Nobrand,116099.0
Bundesliga,115432.0
BleachersVEVO,115373.66666666667
Animal Adventure Park,115367.66666666667
Violin MD,115137.7
mayratouchofglam,115005.0
Kotaku,114069.66666666667
David Sistaro,113972.0
CrossKut316,113888.5
Laura Kampf,113685.875
Redline Reviews,113677.25
Channon Rose Vlogs,113619.66666666667
Laura in the Kitchen,113295.53846153847
The Anna Edit,112510.0
PrincessPiaMiaVEVO,112409.5
thevirts,111834.75
Doug Jones for Senate,111673.125
Just Between Us,111554.54545454546
Jacob Collier,110349.5
TheTimTracker,110331.58333333333
Owen Harvey,110072.0
voordeel,109832.16666666667
Saint Louis Chess Club,108801.81818181818
DunkFest,108595.0
David Seymour,108116.0
Kacey Musgraves - Topic,108076.36363636363
Monster Energy,106841.0
Tyler Stalman,105426.86666666667
Seonkyoung Longest,105391.58333333333
Red Robot - Intelligent Distribution,104510.33333333333
Strange incident,104381.25
60 Minutes,103351.25
Sparkee Music,103350.0
Popcorn with Peter Travers,102783.6
Tessa Violet,102772.375
BeOurGuest,102710.8
mike m,102560.0
USA TODAY,102540.76086956522
Aunty Donna,102201.0
rock on,101590.8
Ford Motor Company,100902.0
Good Morning Britain,100315.71428571429
New England Patriots,99620.0
Enter Shikari,99619.0
MassLive,99474.71428571429
Jessii Vee,99416.0
Peloton,99183.8
Drew Lynch,98782.09090909091
The Rock,98542.36363636363
CupcakeJemma,98000.52173913043
Movieclips Coming Soon,97856.0
JK Brickworks,97803.33333333333
JohnnyQ90,97533.0
MattMasonPhotography,97346.5
So I Had This Idea...,97217.0
Jon B.,96940.08333333333
Arden Rose,96311.0
SBS TV동물농장x애니멀봐,95967.0
Alicia Keys,95944.0
The Hollywood Reporter,95273.36363636363
Inthefrow,95177.0
Ingrid Nilsen,95105.21052631579
poofables,95085.0
CYNVEVO,95012.57142857143
Choir! Choir! Choir!,94238.75
Mecum Auctions,92229.5
Izac Less,92180.0
Henry Prince Mak,92089.16666666667
X Games,91461.33333333333
Confuse News,91429.0
Ryan Williams,91344.8
RawBeautyKristi,91168.4
Lily Pebbles,91167.0
INQUIRER.net,90591.88888888889
Carly and Erin,90509.8
Caters Clips,90454.0
Sevdaliza,90206.0
BillyCrammer,89872.0
Mike Diva,89843.16666666667
WildTurkeyBourbon,89389.875
EVNautilus,89132.0
12 News,88985.0
Joan Kim,88808.1875
Vote The Process,88806.75
ParsonJamesVEVO,88326.875
Amazon.co.uk,87609.0
Theme Park Review,87436.27272727272
NitroV2,87369.5
Srinath .S,87160.0
DJI,86896.5
BehindTheSounds,86830.25
The Thought Emporium,86605.0
mittromney,85937.57142857143
ByronTalbott,85908.90909090909
NIXOLAS,85106.875
startelegramvideo,84985.25
souviendra,84393.66666666667
KISS FM UK,84340.5
Special Books by Special Kids,84212.125
Bruce Land,83396.83333333333
Big Ten Network,83385.0
KickThePj,83200.0
Access Hollywood,83074.42857142857
StudiocanalUK,82951.42857142857
The Square to Spare,82519.66666666667
Tu Fan,82087.0
Hannah Meloche,81851.75
Burritoxman,81198.0
TNT,80524.85714285714
DamonAndJo,80479.6046511628
shurap,80082.0
Lotto New Zealand,79800.33333333333
AIA awards,79797.85714285714
kawaiisweetworld,79489.0
Duan Mackenzie,78612.66666666667
Chevrolet,78232.5
Andre Black Nerd,78182.33333333333
Kitten Lady,77668.71428571429
Brothers Green Eats,77630.0
Helen Anderson,77344.0
Derek Hough,77033.22222222222
Pomegranate Sunshine,76652.33333333333
Cleveland Cavaliers on cleveland.com,76495.5
Kayley Melissa,76269.13636363637
JAY,76103.75
ilikeweylie,75761.4
ColliderVideos,75047.13846153846
Dina Tokio,74964.0
neilyoungchannel,74919.5
Cloth Map,74650.66666666667
paul wheaton,73808.33333333333
The Unipiper,73707.2
colourpopcosmetics,72712.0
The Ohana Adventure,72373.14285714286
Christopher Davis,71965.85714285714
ThisDustIn,71580.66666666667
Al Jazeera English,71140.23076923077
Kyle Gunderson,71064.2
Jessica Braun | JAMbeauty89,70833.8
Hunter Hayes,70767.47368421052
The Cuddle Squad,70510.33333333333
Auralnauts,70392.0
Be Amazed,70041.4
Samantha Maria,69572.75
HANSON,68853.3
Peaceful Cuisine,68607.4
Cody'sLab Backup,68475.8
The Alex Jones Channel,68281.66666666667
Elton John,68162.83333333333
SnekTek,68132.66666666667
The Warp Zone,67939.5
Lauren Elizabeth,67290.4
Steeper33,67235.33333333333
The Bachelor Insider,66845.25
Chris Reinacher,65988.5
DrakeBellVEVO,65973.0
QUARTZ,65637.66666666667
ODE,65626.4
Cartoon Hangover,65541.5
Dustin Penner,65386.0
The Inertia,65371.0
RachelPlattenVEVO,65304.0
Merrell Twins Live,65037.142857142855
Midnight Video,64520.0
Sam Sheffer,64332.8
Symon,64217.8
Rappler,63956.333333333336
lisbug,63139.8
Amelia Liana,62102.0
Parks and Recreation,61847.142857142855
The Cincinnati Zoo & Botanical Garden,61430.5
ScreenJunkies News,61321.22727272727
SRAM MTB,61243.333333333336
Funny Or Die,60909.27272727273
JackJohnsonVEVO,60420.88888888889
BUILD Series,60281.36363636364
In Case You Missed It,60237.0
Steve TV Show,59292.22222222222
Gemma Stafford,59078.11111111111
FunForLouis,58948.857142857145
NFL World,58647.333333333336
Tony Baker Comedy,58567.71428571428
Viva La Dirt League,58365.0
Zach Simmons,58237.8
Samsung Mobile USA,57994.857142857145
Halfway Anywhere,57885.25
Honda,57871.5
ATPWorldTour,57150.666666666664
Turn10Studios,57047.375
Renault Sport,56951.0
Darren Criss,56809.8
FaeryInLoveInc,56657.25
CMT,56631.142857142855
Obama Foundation,56372.666666666664
Sara Dietschy,56189.52380952381
Associated Press,56154.794871794875
Katy Perry,56012.0
Spinach Dippa,55830.5
DreamCastle_629,55622.333333333336
Lifetime,55487.6
cgriesemer,55437.833333333336
Whitney Port,55398.0
nickjonas,55070.77777777778
Haru the Shiba Inu,54902.0
AutoGuide.com,54885.333333333336
MDNA SKIN,54611.0
UJ,54273.8
Chris Hadfield's Rare Earth,53901.4
Applied Science,53753.375
smoothiethecat,53509.0
Roadshow,53465.0
Useless Duck Company,53290.75
CMAVEVO,53074.0
Talks at Google,53000.0
East Idaho News,52998.0
Ivan Miranda,52229.333333333336
NASCAR,52176.11111111111
Specialized Bicycles,52144.25
razzark666,52074.0
3D Printing Nerd,52072.833333333336
TheGracieC,52031.333333333336
KFlayVEVO,51725.833333333336
Youtube Tea,51706.25
Errant Signal,51666.0
Penguin Books UK,51542.0
John Campea,51278.41818181818
Sherylcrow,51026.25
TimandFaithVEVO,50903.8
bigclivedotcom,50550.0
Brian Klug,50398.833333333336
Scott Manley,50272.6
AirPano,50206.0
Sound Bites,50153.833333333336
Livia Giustiniani,50064.25
Tryst Network,50059.6
XenonJohn,49529.77777777778
Function,49268.42857142857
Daelric,49143.5
heroedelahistoria,49126.166666666664
BenDeen,48768.0
Xbox,48735.0
Chicago Sun-Times,48226.42857142857
LaToya Forever,48160.2
Popular Woodworking,47862.0
Tom Daley,47746.4
mugumogu,47717.3
Topi The Corgi,47208.28571428572
LiveOverflow,47122.0
rollingstoneonline,47117.333333333336
Jalopnik,46877.4
Just Marcus,46706.0
Shantell Martin,46568.5
Senator Chris Murphy,46413.25
Sriram Murali,46136.444444444445
Sport Hub,46094.833333333336
Radio Andy,46036.5
Mark Ferris,45893.0
Business Insider UK,45619.846153846156
CFL Insider,45619.8
Pixielocks,45463.11111111111
Mental Floss,45452.61538461538
misleadingsilhouette,45096.0
MassMutual,44810.25
Missouri Star Quilt Company,44656.555555555555
Reach Records,44478.375
Lucy Moon,44372.666666666664
